model_type,base_model,count,percentage
LORA,Illustrious,9906,99.1095547773887
LORA,NoobAI,27,0.27013506753376687
LORA,SD 1.5,18,0.18009004502251127
LORA,Pony,41,0.4102051025512757
LORA,SDXL,3,0.030015007503751873
LoCon,NoobAI,23,0.7472384665367121
LoCon,Illustrious,2986,97.01104613385316
LoCon,Pony,34,1.1046133853151396
LoCon,SD 1.5,33,1.0721247563352825
LoCon,SDXL,2,0.0649772579597141
Checkpoint,Illustrious,4022,99.90064580228515
Checkpoint,NoobAI,1,0.024838549428713365
Checkpoint,Pony,1,0.024838549428713365
Checkpoint,SDXL,1,0.024838549428713365
Checkpoint,SD 1.5,1,0.024838549428713365
